feature,missing_train,nunique_train,variance_train,endpoint_direct_feature,candidate_keep,used_in_full_domain_encoder
age_analysis,0.0,30,70.37368614101146,False,True,True
age_r,0.0,30,70.37368614101146,False,True,True
agebaby1,0.4554277942631058,361,1277260.0762234181,False,True,True
agecancer,0.9688427299703264,43,78.42875682413455,False,False,False
agecon10,0.9975272007912958,33,1711197.323076923,False,False,False
agecon11,0.9984545004945599,23,1978062.9400000002,False,False,False
agecon12,0.9990108803165183,13,2446332.5625,False,False,False
agecon13,0.999381800197824,8,3524200.9888888886,False,False,False
agecon14,0.9995054401582592,7,3917588.6964285714,False,False,False
agedd1,0.8673961424332344,31,32.14062902271858,False,True,False
agedd1_i,0.0,2,0.006449362270052605,False,True,False
agediss1,0.8353733926805144,31,34.07158509366607,False,True,False
agediss1_i,0.0,2,0.0029587367397575655,False,True,False
agefhpv,0.5476013847675568,41,607.6851430156827,False,True,False
agefpap,0.19324925816023739,42,155.7607651266711,False,True,False
agefpap2,0.9807121661721068,6,5.824047736829088,False,False,False
agefpel,0.19590751730959446,43,161.73302200292648,False,True,True
agefstus,0.5315281899109793,42,68.75295517093392,False,True,False
agemomb1,0.0,7,181.29491436165085,False,True,True
agemomb1_i,0.0,2,0.006144160754115856,False,True,False
agepel2,0.9806503461918892,6,7.046325878594248,False,False,False
ageprg10,0.9975890207715133,37,1772494.7368421052,False,False,False
ageprg11,0.9985163204747775,21,1788669.0144927534,False,False,False
ageprg12,0.9990108803165183,13,2488211.8958333335,False,False,False
ageprg13,0.999381800197824,8,3538080.8444444444,False,False,False
ageprg14,0.9995054401582592,7,3926282.5714285714,False,False,False
ager,0.0,30,70.37368614101146,False,True,True
agescrn,0.0,31,70.62594801847375,False,True,True
agesmk,0.7022131552917903,36,99.84571737554631,False,True,False
agevagr,0.8679525222551929,39,176.93964489645552,False,True,False
analsex,0.0,5,3.66401725914477,False,True,False
anyfster,0.000370919881305638,2,1.935913141928179,False,True,False
b1premar,0.4554277942631058,2,0.24530313776812973,False,True,False
births5,0.4000989119683482,5,0.5308230603074545,False,True,False
bisexprt,0.20165677546983185,5,0.4646178537413167,False,True,False
chlam,0.0,5,0.38576450390373596,False,True,False
chlamtst,0.0,5,3.4701110657573495,False,True,False
cmfsex,0.3417408506429278,372,2180892.3977563726,False,True,True
cmfsex2,0.8819856577645895,219,4482315.964877833,False,True,False
cmfsex3,0.9545623145400594,158,5617729.236705036,False,False,False
cmfsextot,0.3417408506429278,371,1144252.8399068613,False,True,True
cmfsextot2,0.8819856577645895,219,932231.5531779841,False,True,False
cmfsextot3,0.9545623145400594,156,2463483.007811081,False,False,False
cmfstuse,0.5315281899109793,431,2104729.8102524127,False,True,True
cmlsex2,0.8730835806132542,100,433441.9775216034,False,True,False
cmlsex3,0.9520895153313551,89,1601067.6441043594,False,False,False
cmlsexfp,0.14113501483679525,427,8219278.041992802,False,True,True
cmmarrch,0.5743694362017804,385,467119.01849476155,False,True,True
cohab1,0.4540677546983185,404,124953.53299776744,False,True,True
cohab1_i,0.0,3,0.002836495611641343,False,True,False
compreg,0.0,18,3.3155679450312405,False,True,False
con1mar1,0.3348788328387735,341,178795.83188319264,False,True,True
condsexl,0.6870672601384767,5,3.422310748418875,False,True,False
constat1,0.0,30,256.99340187993886,True,True,True
constat1_i,0.0,3,0.02768210809381196,True,True,False
constat2,0.0,21,506.0758785202036,True,True,True
constat2_i,0.0,3,0.007952610159956096,True,True,False
constat3,0.0,15,54.56001201237699,True,True,False
constat3_i,0.0,3,0.004010807699539989,True,True,False
constat4,0.0,3,2.87210697398172,True,True,False
constat4_i,0.0,3,0.003024134061643406,True,True,False
contagem,0.9858432245301681,2,3.3261319236957028,False,False,False
cpeduc,0.8670870425321464,7,2.2738675641455734,False,True,False
cpengag1,0.8670870425321464,5,1.7591403248671638,False,True,False
cpherage,0.9919634025717112,26,352.7287418008348,False,False,False
cphisage,0.8670870425321464,51,90.67286872206651,False,True,False
cpkidliv,0.9551805143422354,2,3.2300552486187852,False,False,False
cpkids,0.8670870425321464,4,3.643320527665653,False,True,False
cpmarbef,0.8670870425321464,3,2.9244399233824274,False,True,False
curr_ins,0.0,4,1.2557186558367999,False,True,False
curr_ins_i,0.0,2,0.010339063959505717,False,True,False
currmeth1,0.12079624134520277,24,38.42777006036191,True,True,False
