feature,missing_train,nunique_train,variance_train,excluded_reason,candidate_keep,used_in_primary_encoder
age_analysis,0.0,30,70.37368614101146,,True,True
age_r,0.0,30,70.37368614101146,,True,True
agebaby1,0.4554277942631058,361,1277260.0762234181,,True,True
agecancer,0.9688427299703264,43,78.42875682413455,,False,False
agecon10,0.9975272007912958,33,1711197.323076923,,False,False
agecon11,0.9984545004945599,23,1978062.9400000002,,False,False
agecon12,0.9990108803165183,13,2446332.5625,,False,False
agecon13,0.999381800197824,8,3524200.9888888886,,False,False
agecon14,0.9995054401582592,7,3917588.6964285714,,False,False
agedd1,0.8673961424332344,31,32.14062902271858,,True,False
agedd1_i,0.0,2,0.006449362270052605,,True,False
agediss1,0.8353733926805144,31,34.07158509366607,,True,False
agediss1_i,0.0,2,0.0029587367397575655,,True,False
agefhpv,0.5476013847675568,41,607.6851430156827,,True,False
agefpap,0.19324925816023739,42,155.7607651266711,,True,True
agefpap2,0.9807121661721068,6,5.824047736829088,,False,False
agefpel,0.19590751730959446,43,161.73302200292648,,True,True
agefstus,0.5315281899109793,42,68.75295517093392,,True,False
agemomb1,0.0,7,181.29491436165085,,True,True
agemomb1_i,0.0,2,0.006144160754115856,,True,False
agepel2,0.9806503461918892,6,7.046325878594248,,False,False
ageprg10,0.9975890207715133,37,1772494.7368421052,,False,False
ageprg11,0.9985163204747775,21,1788669.0144927534,,False,False
ageprg12,0.9990108803165183,13,2488211.8958333335,,False,False
ageprg13,0.999381800197824,8,3538080.8444444444,,False,False
ageprg14,0.9995054401582592,7,3926282.5714285714,,False,False
ager,0.0,30,70.37368614101146,,True,True
agescrn,0.0,31,70.62594801847375,,True,True
agesmk,0.7022131552917903,36,99.84571737554631,,True,False
agevagr,0.8679525222551929,39,176.93964489645552,,True,False
analsex,0.0,5,3.66401725914477,,True,False
anyfster,0.000370919881305638,2,1.935913141928179,,True,False
b1premar,0.4554277942631058,2,0.24530313776812973,,True,False
births5,0.4000989119683482,5,0.5308230603074545,,True,False
bisexprt,0.20165677546983185,5,0.4646178537413167,,True,False
chlam,0.0,5,0.38576450390373596,,True,False
chlamtst,0.0,5,3.4701110657573495,,True,False
cmfsex,0.3417408506429278,372,2180892.3977563726,,True,True
cmfsex2,0.8819856577645895,219,4482315.964877833,,True,False
cmfsex3,0.9545623145400594,158,5617729.236705036,,False,False
cmfsextot,0.3417408506429278,371,1144252.8399068613,,True,True
cmfsextot2,0.8819856577645895,219,932231.5531779841,,True,False
cmfsextot3,0.9545623145400594,156,2463483.007811081,,False,False
cmfstuse,0.5315281899109793,431,2104729.8102524127,,True,True
cmlsex2,0.8730835806132542,100,433441.9775216034,,True,False
cmlsex3,0.9520895153313551,89,1601067.6441043594,,False,False
cmlsexfp,0.14113501483679525,427,8219278.041992802,,True,True
cmmarrch,0.5743694362017804,385,467119.01849476155,,True,True
cohab1,0.4540677546983185,404,124953.53299776744,,True,True
cohab1_i,0.0,3,0.002836495611641343,,True,False
compreg,0.0,18,3.3155679450312405,,True,False
con1mar1,0.3348788328387735,341,178795.83188319264,,True,True
