k,silhouette,davies_bouldin,min_cluster_prop,bootstrap_ari_mean,bootstrap_ari_sd,bootstrap_n,selected
2,0.5867633398266828,0.6165021023546511,0.4331669439822518,0.9992727523929567,0.0008153167544068063,60,False
3,0.6055856073451864,0.7006066209678338,0.04603438713255685,0.914259773765425,0.11475723768402049,60,True
4,0.5177121306325243,0.7197335723030824,0.04677389535958588,0.7383894415001699,0.2308027899438194,60,False
5,0.3849698211503651,0.9686146713783763,0.040488075429839156,0.7965193525732454,0.12372193269069591,60,False
6,0.3851910459918064,0.9527015074345253,0.016269180994638564,0.7803024841949503,0.09533633118757935,60,False
7,0.36602309858566107,1.0399927242172535,0.03216860787576262,0.7499737050291962,0.10222308402373921,60,False
8,0.3662307587150624,1.0286598267821034,0.015159918654095026,0.7151099837277246,0.11062735797232298,60,False
