analysis_set,endpoint,feature_set,train_events,train_n,test_events,test_n,baseline_prevalence,auprc,auprc_enrichment,auroc,delta_auprc_vs_minimal,delta_auprc_vs_raw48
full analytic cohort,contraceptive_vulnerability,Age + parity + ever-pregnant,1707,21585,405,4893,0.08277130594727161,0.09367415115130298,1.1317225224279641,0.5457865693976806,0.0,-0.03033533242398956
full analytic cohort,contraceptive_vulnerability,Raw 48 encoder inputs,1707,21585,405,4893,0.08277130594727161,0.12400948357529254,1.4982182793429788,0.6539314715785305,0.03033533242398956,0.0
full analytic cohort,contraceptive_vulnerability,SSL embedding,1707,21585,405,4893,0.08277130594727161,0.47208806696209843,5.703523238630982,0.9027453181047952,0.3784139158107954,0.34807858338680586
full analytic cohort,contraceptive_vulnerability,Raw 48 + SSL,1707,21585,405,4893,0.08277130594727161,0.49038660364142916,5.9245966706605255,0.9097725622235427,0.3967124524901262,0.36637712006613665
full analytic cohort,contraceptive_vulnerability,Phenotype only,1707,21585,405,4893,0.08277130594727161,0.0960584706119901,1.1605286338381915,0.5708789969410886,0.002384319460687123,-0.027951012963302435
full analytic cohort,contraceptive_vulnerability,SSL + phenotype,1707,21585,405,4893,0.08277130594727161,0.4565285357679287,5.515541050648086,0.9043490460157126,0.36285438461662567,0.3325190521926361
full analytic cohort,fertility_service_or_loss_help,Age + parity + ever-pregnant,2194,21585,555,4893,0.11342734518700184,0.20675179011140687,1.8227684847119168,0.7305176545840446,0.0,-0.027442575272248415
full analytic cohort,fertility_service_or_loss_help,Raw 48 encoder inputs,2194,21585,555,4893,0.11342734518700184,0.2341943653836553,2.0647081618418475,0.7504425587413139,0.027442575272248415,0.0
full analytic cohort,fertility_service_or_loss_help,SSL embedding,2194,21585,555,4893,0.11342734518700184,0.2761695324697165,2.434770310584365,0.7818710827009582,0.06941774235830961,0.041975167086061194
full analytic cohort,fertility_service_or_loss_help,Raw 48 + SSL,2194,21585,555,4893,0.11342734518700184,0.2838866877393653,2.502806420015702,0.785211767784382,0.07713489762795844,0.04969232235571003
full analytic cohort,fertility_service_or_loss_help,Phenotype only,2194,21585,555,4893,0.11342734518700184,0.16516520109029234,1.4561321242068475,0.6635247280475496,-0.041586589021114534,-0.06902916429336295
full analytic cohort,fertility_service_or_loss_help,SSL + phenotype,2194,21585,555,4893,0.11342734518700184,0.27684724592659266,2.4407451789528247,0.7816069181214409,0.07009545581518578,0.042652880542937366
full analytic cohort,unintended_mistimed_pregnancy_history,Age + parity + ever-pregnant,10447,21585,1738,4893,0.3552013079910076,0.765843311447792,2.156082464277357,0.8991375773016328,0.0,-0.024529536546115116
full analytic cohort,unintended_mistimed_pregnancy_history,Raw 48 encoder inputs,10447,21585,1738,4893,0.3552013079910076,0.7903728479939072,2.2251405898930883,0.9101791045320503,0.024529536546115116,0.0
full analytic cohort,unintended_mistimed_pregnancy_history,SSL embedding,10447,21585,1738,4893,0.3552013079910076,0.8305177501985631,2.3381607317155173,0.9221970350458385,0.06467443875077106,0.04014490220465594
full analytic cohort,unintended_mistimed_pregnancy_history,Raw 48 + SSL,10447,21585,1738,4893,0.3552013079910076,0.8615949454828257,2.4256525133759874,0.9357609070301401,0.09575163403503362,0.0712220974889185
full analytic cohort,unintended_mistimed_pregnancy_history,Phenotype only,10447,21585,1738,4893,0.3552013079910076,0.6810999081691577,1.9175039416983246,0.8653465283337497,-0.08474340327863439,-0.1092729398247495
full analytic cohort,unintended_mistimed_pregnancy_history,SSL + phenotype,10447,21585,1738,4893,0.3552013079910076,0.833017973496611,2.3451996227381575,0.924036225765448,0.06717466204881894,0.04264512550270383
full analytic cohort,adverse_pregnancy_history_proxy,Age + parity + ever-pregnant,2202,21585,274,4893,0.055998365011240545,0.16653762853959436,2.973973052716187,0.8051233954327018,0.0,-0.01982876008873627
full analytic cohort,adverse_pregnancy_history_proxy,Raw 48 encoder inputs,2202,21585,274,4893,0.055998365011240545,0.18636638862833063,3.328068392548985,0.8225917070557502,0.01982876008873627,0.0
full analytic cohort,adverse_pregnancy_history_proxy,SSL embedding,2202,21585,274,4893,0.055998365011240545,0.1904266785625255,3.4005756868848076,0.8380720382172651,0.023889050022931124,0.004060289934194855
full analytic cohort,adverse_pregnancy_history_proxy,Raw 48 + SSL,2202,21585,274,4893,0.055998365011240545,0.1835542611492379,3.2778503642453325,0.8360801070791385,0.017016632609643534,-0.0028121274790927353
full analytic cohort,adverse_pregnancy_history_proxy,Phenotype only,2202,21585,274,4893,0.055998365011240545,0.12271652753365062,2.191430544606396,0.7704242078498365,-0.04382110100594375,-0.06364986109468002
full analytic cohort,adverse_pregnancy_history_proxy,SSL + phenotype,2202,21585,274,4893,0.055998365011240545,0.19117982451685347,3.4140251144560736,0.8352646874303692,0.024642195977259113,0.004813435888522843
