endpoint,analysis_set,top_phenotype,top_n,top_events,top_weighted_prevalence,baseline_weighted_prevalence,top_prevalence_ratio,top_risk_difference,prevalence_ratio_ci_low,prevalence_ratio_ci_high,risk_difference_ci_low,risk_difference_ci_high,bootstrap_n,bootstrap_seed,bootstrap_method,bootstrap_strata,bootstrap_clusters,best_feature_set,test_events,test_n,baseline_prevalence,auprc,auprc_enrichment,auroc
adverse_pregnancy_history_proxy,Ever-pregnant stratum,2,229,48,0.2323669656929976,0.10748268949904073,2.161901295697215,0.12488427619395688,1.600447910515355,2.8451994856559324,0.06380495417671697,0.19609266033137934,2000,20260604,ever-pregnant stratum; stratified cluster percentile bootstrap using VEST/VECL,20,80,SSL + phenotype,274,4893,0.0559983650112405,0.1911798245168534,3.4140251144560736,0.8352646874303692
contraceptive_vulnerability,Full analytic cohort,1,2224,238,0.1038013269058726,0.0781060798577798,1.3289788335924706,0.0256952470480927,1.2216012104747158,1.4444909724502883,0.0173210727879276,0.0347870472030496,2000,20260604,stratified cluster percentile bootstrap using VEST/VECL with public-use weights retained,20,80,SSL embedding,405,4893,0.0827713059472716,0.4720880669620984,5.703523238630982,0.9027453181047952
fertility_service_or_loss_help,Full analytic cohort,2,242,44,0.1855565603317104,0.1110077339598059,1.6715642569453537,0.0745488263719045,1.1893969032678782,2.193284545074917,0.0208965824209074,0.1328427766149258,2000,20260604,stratified cluster percentile bootstrap using VEST/VECL with public-use weights retained,20,80,SSL + phenotype,555,4893,0.1134273451870018,0.2768472459265926,2.4407451789528247,0.7816069181214409
impaired_fecundity_status,Full analytic cohort,2,242,94,0.4102911449461803,0.2813104299924621,1.4584995833861345,0.1289807149537182,1.2235289209481204,1.6892334992419369,0.0624517727386689,0.1934435426997638,2000,20260604,stratified cluster percentile bootstrap using VEST/VECL with public-use weights retained,20,80,SSL embedding,1367,4893,0.2793787042714081,0.5285086861170477,1.891728603636221,0.7399329715384222
unintended_mistimed_pregnancy_history,Ever-pregnant stratum,2,229,181,0.8003220796767584,0.6840133299372122,1.1700387180323262,0.11630874973954619,1.0883180345140877,1.2471527480099514,0.06033581301642598,0.16809015442394057,2000,20260604,ever-pregnant stratum; stratified cluster percentile bootstrap using VEST/VECL,20,80,SSL + phenotype,1738,4893,0.3552013079910076,0.833017973496611,2.345199622738157,0.924036225765448
