analysis,endpoint,phenotype,n,events,weighted_prevalence,baseline_weighted_prevalence,prevalence_ratio,risk_difference,subgroup_type,subgroup
parity_group: 1-2,impaired_fecundity_status,1,1448,499,0.36543026944387996,0.36579538354669555,0.9990018624639943,-0.0003651141028155891,parity_group,1-2
parity_group: 1-2,impaired_fecundity_status,2,115,42,0.371333117829977,0.36579538354669555,1.0151388851045315,0.00553773428328147,parity_group,1-2
parity_group: >=3,contraceptive_vulnerability,0,6,0,0.0,0.09768954889547472,0.0,-0.09768954889547472,parity_group,>=3
parity_group: >=3,contraceptive_vulnerability,1,549,53,0.09552928993885353,0.09768954889547472,0.977886488564579,-0.002160258956621197,parity_group,>=3
parity_group: >=3,contraceptive_vulnerability,2,97,13,0.12020379700325111,0.09768954889547472,1.2304673157193717,0.022514248107776386,parity_group,>=3
parity_group: >=3,fertility_service_or_loss_help,0,6,1,0.03437889348813474,0.15698533845953772,0.21899429478884586,-0.12260644497140297,parity_group,>=3
parity_group: >=3,fertility_service_or_loss_help,1,549,72,0.15437280544734355,0.15698533845953772,0.9833581082295304,-0.0026125330121941626,parity_group,>=3
parity_group: >=3,fertility_service_or_loss_help,2,97,18,0.18466015636691738,0.15698533845953772,1.1762891883977606,0.027674817907379662,parity_group,>=3
parity_group: >=3,unintended_mistimed_pregnancy_history,0,6,5,0.80712890411029,0.8106062282155249,0.9957102178786735,-0.0034773241052348247,parity_group,>=3
parity_group: >=3,unintended_mistimed_pregnancy_history,1,549,441,0.7997161881342251,0.8106062282155249,0.9865655608083925,-0.01089004008129979,parity_group,>=3
parity_group: >=3,unintended_mistimed_pregnancy_history,2,97,84,0.8751478943775409,0.8106062282155249,1.079621478241166,0.06454166616201606,parity_group,>=3
parity_group: >=3,adverse_pregnancy_history_proxy,0,6,3,0.7107879776695004,0.15508515864515154,4.583210823518231,0.5557028190243489,parity_group,>=3
parity_group: >=3,adverse_pregnancy_history_proxy,1,549,71,0.1250912595282815,0.15508515864515154,0.8065972309736053,-0.029993899116870032,parity_group,>=3
parity_group: >=3,adverse_pregnancy_history_proxy,2,97,26,0.2762561790406656,0.15508515864515154,1.7813192535899838,0.12117102039551403,parity_group,>=3
parity_group: >=3,impaired_fecundity_status,0,6,1,0.4039455225031563,0.45958554081778397,0.8789343585187164,-0.05564001831462767,parity_group,>=3
parity_group: >=3,impaired_fecundity_status,1,549,236,0.4564911220546675,0.45958554081778397,0.9932669362103728,-0.0030944187631164466,parity_group,>=3
parity_group: >=3,impaired_fecundity_status,2,97,43,0.4833966030339651,0.45958554081778397,1.0518098593219705,0.023811062216181123,parity_group,>=3
