epoch,masked_mse
1,1.4344577078115968
2,1.3606288840404925
3,1.3034899055519718
4,1.2744994924606277
5,1.2170542682324188
6,1.1631946742968935
7,1.1985370771890196
8,1.127905721178431
9,1.1350778552863658
10,1.0984676312366959
11,1.0938857645735611
12,1.1067390648174225
13,1.0686546433668633
14,1.0827665941562798
15,1.0345801432164492
16,1.0327951256664807
17,1.0122512157910033
18,1.0176685057521921
19,0.9308544430012806
20,0.979630759222176
21,0.9111233456743453
22,0.985507306286653
23,0.9840092819855222
24,0.9222506344302883
25,0.9435630772732158
26,0.904235065978603
27,0.8994944958971978
28,0.9089223824045998
29,0.9029088952184775
30,0.9168953511462786
