analysis_split,n_respondents,weighted_mean_age,weighted_sd_age,weighted_mean_parity,weighted_sd_parity,weighted_pregnancy_record_prevalence,contraceptive_vulnerability_weighted_prev,fertility_service_or_loss_help_weighted_prev,unintended_mistimed_pregnancy_history_weighted_prev,adverse_pregnancy_history_proxy_weighted_prev,impaired_fecundity_status_weighted_prev
Training/pretraining,16176,29.58842613742064,8.501354494411846,1.1918057436665408,1.3755667059543253,0.6110578995282452,0.07249117300315687,0.11520284107261132,0.4781381739674438,0.098577382025799,0.279805291012064
Development/model selection,5409,29.601251964290583,8.362145271230075,1.0885414167706642,1.3514070625884171,0.5637123370998752,0.0719598173984272,0.10375540851918046,0.44741561666210405,0.08465551228527965,0.2868788216045378
Temporal validation,4893,29.550608668093034,8.551363922945328,0.9911156743219978,1.3938121382363515,0.5001231880338743,0.07810607985777983,0.11100773395980593,0.3420909272258648,0.05375458533071529,0.2813104299924621
